filename,file_type,religious_group,content,content_length,word_count,chunk_id,chunk_count,has_url_content,has_ai_summary,source_url,publication_policy_year,cleaned_content
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"he USA; At Imperial Conferences held in 1926 and 1930 the Irish representatives encouraged the other dominions to push for equal status with Britain. This pressure led to the Statute of Westminster of 1931. This law allowed a dominion to leave the Commonwealth whether Britain agreed or not. (Page 64) Source A To me this treaty gives me what I and my colleagues fought for; it gives us for the first time in 700 years, the evacuation of Britain's armed forces out of Ireland. Sean MacEoin gives a supporter's view of the Treaty, December 1921 Source B The two great principles for which so many have died - no partition and no control of Ireland by any foreign power - have gone by the board in this treaty.",708,128,10.0,129,False,False,,2004.0,usa imperial conference held irish representative encouraged dominion push equal status britain pressure led statute westminster law allowed dominion leave commonwealth whether britain agreed page source treaty give colleague fought give u first time evacuation britain armed force sean maceoin give supporter view treaty december source b great principle died partition control foreign power gone board treaty
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"no partition and no control of Ireland by any foreign power - have gone by the board in this treaty. Sean T O'Kelly provides the view of those members of Sinn Fein who were against the Treaty, December 1921 Source C I ____ do solemnly swear true faith and allegiance to the Constitution of the Irish Free State as by law established and that I will be faithful to His Majesty King George V, his heirs and successors by law, in virtue of the common citizenship of Ireland with Great Britain and her adherence to and membership of the group of nations forming the British Commonwealth of Nations. Extract from Oath of Allegiance (Article 4, Anglo-Irish Treaty, 1921) Questions: How did Sinn Féin and the IRA react to the 1921 Treaty? Why was there opposition to the Treaty? Use the following headings to help you.",811,145,11.0,129,False,False,,2004.0,partition control foreign power gone board treaty sean provides view member sinn féin treaty december source c solemnly swear true faith allegiance constitution irish free state law established faithful majesty king george v heir successor law virtue common citizenship great britain adherence membership group nation forming british commonwealth nation extract oath allegiance article treaty sinn féin ira react treaty opposition treaty use following heading help
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"to the 1921 Treaty? Why was there opposition to the Treaty? Use the following headings to help you. Partition Links with Britain Which two political parties were set up in the Irish Free State after the Civil War? What steps did Cumann na nGaedheal take in order to increase the amount of independence the Free State had? Revision Tip Although this information is background to the period that you will be examined on, it is still important information for you to understand. In particular, you need to be aware of why there were divisions in the Free State over the 1921 Treaty. The Northern Ireland State, 1920-32 The Government of Northern Ireland They might not have sought their own parliament but once they had it, the unionists set about making it work (Source A). In the elections that were held for the new Northern Ireland Parliament in May 1921 the unionists won 40 out of 52 seats.",893,157,12.0,129,False,False,,2004.0,treaty opposition treaty use following heading help partition link britain political party set irish free state civil war step cumann na ngaedheal take order increase amount independence free state revision tip although information background period examined still important information understand particular need aware division free state treaty state government might sought parliament unionist set making work source election held new parliament may unionist seat
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"were held for the new Northern Ireland Parliament in May 1921 the unionists won 40 out of 52 seats. The unionist leader, Sir James Craig (from 1927: Lord Craigavon), became the first Prime Minister of Northern Ireland. With such a majority it was easy for the unionists to dominate the political institutions. Indeed Sir James Craig once said, 'All I boast of is that we are a Protestant Parliament and a Protestant State.' (Image – James Craig) (Page 65) (Image – King George V arriving for the opening of the Northern Ireland Parliament, June 1921) Political Relations Between Britain and Northern Ireland Under the terms of the Government of Ireland Act the parliament in Belfast would control most of the everyday affairs of the new state. Westminster, however, retained responsibility for foreign affairs, defence and taxation. It also retained the power to overrule any law made by the Northern Ireland Parliament.",920,151,13.0,129,False,False,,2004.0,held new parliament may unionist seat unionist leader sir james craig lord craigavon became first prime minister majority easy unionist dominate political institution indeed sir james craig said boast protestant parliament protestant state image james craig page image king george v arriving opening parliament june political relation britain term government act parliament belfast control everyday affair new state westminster however retained responsibility foreign affair defence taxation retained power overrule law parliament
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"nd taxation. It also retained the power to overrule any law made by the Northern Ireland Parliament. However, after 1921 the British Government took little interest in the affairs of Northern Ireland. Nationalist Reactions to the New State Many nationalists resented the new state in which they made up only one-third of the population (Fig 2.1) (Source B). In particular, they resented the discrimination they faced in housing, employment and local government. They also faced an increase in violence. Between 1920 and 1922 over 400 people were killed in sectarian fighting in Belfast alone and many Catholics were forced from their homes and jobs. Since they expected partition to be temporary, nationalists refused to recognise the existence of Northern Ireland.",765,120,14.0,129,False,False,,2004.0,nd taxation retained power overrule law parliament however british government took little interest affair nationalist reaction new state nationalist resented new state population fig source b particular resented discrimination faced housing employment local government faced increase violence people killed sectarian fighting belfast alone catholic forced home job since expected partition temporary nationalist refused recognise existence
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"cted partition to be temporary, nationalists refused to recognise the existence of Northern Ireland. They demonstrated their refusal to recognise the state in a number of ways: Nationalist MPs refused to take their seats in the Northern Ireland Parliament; Teachers in Catholic schools were paid by Dublin; Catholics did not join the Royal Ulster Constabulary (RUC) formed in 1922. (Image – Fig 2.1 Map showing the percentage of Catholics in Ulster, 1920) However, the hoped-for collapse of Northern Ireland did not materialise. When the Boundary Commission promised by Britain failed to alter the border it became clear that partition was permanent. Unionist Responses Nationalists' negative reaction to the prospect and then the reality of Northern Ireland increased the suspicions and fears of unionists. Many unionists believed that the growth in IRA violence proved that all nationalists were out to undermine the new state.",929,143,15.0,129,False,False,,2004.0,cted partition temporary nationalist refused recognise existence demonstrated refusal recognise state number way nationalist mp refused take seat parliament catholic paid dublin catholic join royal ulster constabulary ruc formed image fig map showing percentage catholic ulster however collapse materialise boundary commission promised britain failed alter border became clear partition permanent unionist response nationalist negative reaction prospect reality increased suspicion fear unionist unionist believed growth ira violence proved nationalist undermine new state
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"ed that the growth in IRA violence proved that all nationalists were out to undermine the new state. For this reason they regarded them as disloyal and not to be trusted with political power. These fears led to the introduction of a range of repressive measures: The establishment of the Ulster Special Constabulary in October 1920. Set up to support the police, this became a mainly Protestant force. It had a part-time section called the B Specials who were particularly feared by Catholics. The introduction of the Special Powers Act in 1922. This allowed the government to arrest and detain people without any trial. Although it was supposed to be temporary, it was made permanent in 1933 and actually survived until 1970 Unionists increased their control over local councils by abolishing Proportional Representation (PR) and by gerrymandering electoral boundaries to ensure unionist control of local authorities where Catholics (Page 66) were in a majority.",963,154,16.0,129,False,False,,2004.0,ed growth ira violence proved nationalist undermine new state reason regarded disloyal trusted political power fear led introduction range repressive measure establishment ulster special constabulary october set support police became mainly protestant force section called b special particularly feared catholic introduction special power act allowed government arrest detain people without trial although supposed temporary permanent actually survived unionist increased control local council abolishing proportional representation pr gerrymandering electoral boundary ensure unionist control local authority catholic page majority
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"daries to ensure unionist control of local authorities where Catholics (Page 66) were in a majority. This form of discrimination was particularly obvious in Derry /Londonderry. Craig and his government also feared interference in the affairs of Northern Ireland by Dublin. Although these fears reduced after the failure of the Boundary Commission in 1925, many unionists remained suspicious of the external threat to their state. Segregation Reinforced? Even before partition Ulster society had been deeply divided. These divisions increased after partition with the creation of a unionist-dominated state. Protestants and Catholics attended separate schools. Moreover members of the different religions rarely mixed socially and often lived in different areas. The two communities often had separate sporting interests and joined different organisations such as the Ancient Order of Hibernians and the Orange Order.",916,132,17.0,129,False,False,,2004.0,daries ensure unionist control local authority catholic page majority form discrimination particularly obvious derry craig government feared interference affair dublin although fear reduced failure boundary commission unionist remained suspicious external threat state segregation reinforced even partition ulster society deeply divided division increased partition creation state protestant catholic attended separate moreover member different religion rarely mixed socially often lived different area community often separate sporting interest joined different organisation ancient order hibernians orange order
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"sts and joined different organisations such as the Ancient Order of Hibernians and the Orange Order. Source A [Unionists] fully realised that there was little sympathy and affection for them in Britain and feared that Westminster might try and force them into the South. Therefore they saw safety in 'Having a parliament of our own, for we believe that once a parliament is ... working well ... we should fear no one, and we feel that we would then be in a position of absolute security'. Protestant attitude to the setting up of the Northern Ireland Parliament as stated by historian Patrick Buckland in A History of Northern Ireland Source B This so-called northern parliament is a danger to our liberties and a barrier to the permanent solution of the Irish problem, we (nationalists) can neither give it recognition nor lend it support.",840,143,18.0,129,False,False,,2004.0,sts joined different organisation ancient order hibernians orange order source unionist fully realised little sympathy affection britain feared westminster might try force south therefore saw safety parliament believe parliament working well fear feel position absolute security protestant attitude setting parliament stated historian patrick buckland source b parliament danger liberty barrier permanent solution irish problem nationalist neither give recognition lend support
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"olution of the Irish problem, we (nationalists) can neither give it recognition nor lend it support. The Catholic attitude to the new Northern Ireland state as expressed by Mgr George Crolly, Parish Priest of St Matthew's, Belfast, April 1921 Questions: Who won the elections held for the first Northern Ireland Parliament? How much power did the new Northern Ireland Parliament have? How did Northern nationalists react to the establishment of Northern Oreland? What steps did the Northern Ireland Government take to ensure that nationalists would not be able to undermine their new state? What evidence can you find to show that Northern Ireland was a divided society? Extension Activity In what ways could Northern Ireland be described as ‘a Protestant State’? Revision Tip As with the previous chapter this information is background to the period that you will be examined on. However, you still need to understand the reasons why Northern Ireland was such a divided state.",977,157,19.0,129,False,False,,2004.0,olution irish problem nationalist neither give recognition lend support catholic attitude new state expressed mgr george crolly parish priest st matthew belfast april election held first parliament power new parliament nationalist react establishment oreland step government take ensure nationalist able undermine new state evidence find show divided society extension activity way described protestant state revision tip previous chapter information background period examined however still need understand reason divided state
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"on. However, you still need to understand the reasons why Northern Ireland was such a divided state. The Free State under de Valera, 1932-6 De Valera Becomes President In March 1932 Fianna Fáil, with Labour Party support, succeeded Cumann na nGaedheal as the Free State's government. As a result Éamon de Valera, the senior surviving commandant from the 1916 Rising and the leading opponent of the Treaty, became President of the Executive Council (Cabinet). He had finally been given the opportunity to dismantle the Treaty's terms (Source A). (Page 67) (Image - Éamon de Valera) De Valera’s Political Views Soon after coming to power de Valera wrote to the British Government condemning the Oath of Allegiance as an 'intolerable burden on the conscience of a people'. He then started a process to remove the remaining symbols of British power in the Free State. De Valera was careful to take each step carefully and within the law.",933,156,20.0,129,False,False,,2004.0,however still need understand reason divided state free state de_valera de_valera becomes president march fianna fáil labour party support succeeded cumann na ngaedheal free state government result éamon de_valera senior surviving commandant rising leading opponent treaty became president executive council cabinet finally given opportunity dismantle treaty term source page image éamon de_valera de_valera political view soon coming power de_valera wrote british government condemning oath allegiance burden conscience people started process remove remaining symbol british power free state de_valera careful take step carefully within law
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"itish power in the Free State. De Valera was careful to take each step carefully and within the law. He knew that this would make any retaliation by the British more difficult. Dismantling the Treat, 1932-6 There were a number of stages in dismantling the Treaty: In April 1932 de Valera introduced a law to remove the Oath of Allegiance that all members of the Dáil had to swear to the King. Despite British protests and opposition from Cumann na nGaedheal, the government passed the Removal of the Oath Act in May 1933. To Irish nationalists this was an important step in removing links to Britain and strengthening their political independence. However, it was regarded by Britain as breaking the terms of the Treaty and it increased suspicions of de Valera. In November 1932 the British Government was forced to recall the King's representative in the Free State, Governor-General James MacNeill.",900,151,21.0,129,False,False,,2004.0,itish power free state de_valera careful take step carefully within law knew make retaliation british difficult dismantling treat number stage dismantling treaty april de_valera introduced law remove oath allegiance member dáil swear king despite british protest opposition cumann na ngaedheal government passed removal oath act may irish nationalist important step removing link britain strengthening political independence however regarded britain breaking term treaty increased suspicion de_valera november british government forced recall king representative free state james macneill
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"t was forced to recall the King's representative in the Free State, Governor-General James MacNeill. This was because de Valera had instructed Fianna Fáil ministers to ignore the Governor General and boycott all of the official functions that he attended. De Valera would have preferred to get rid of the Governor General completely, but he realised that he needed someone to sign the bills the Dáil passed into law. MacNeill was replaced by a member of Fianna Fáil, Domhnall O'Buachalla who was given the title of an seanasca (Chief Steward). Although he remained in this post until it was abolished in 1937, his powers were officially reduced in 1933. He never lived in the Governor General's official residence in Phoenix Park and he undertook no official duties. At the same time de Valera amended the Free State Constitution to prevent Free State citizens using the Privy Council, the highest court in Britain, to appeal against decisions made in Irish courts.",965,160,22.0,129,False,False,,2004.0,forced recall king representative free state james macneill de_valera instructed fianna fáil minister ignore governor general boycott official function attended de_valera preferred get rid governor general completely realised needed someone sign bill dáil passed law macneill replaced member fianna fáil domhnall given title seanasca chief steward although remained post abolished power officially reduced never lived governor general official residence phoenix park undertook official duty time de_valera amended free state constitution prevent free state citizen using privy council highest court britain appeal decision irish court
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"g the Privy Council, the highest court in Britain, to appeal against decisions made in Irish courts. The British Government challenged de Valera's actions before the Privy Council in 1935. The court decided that everything that de Valera was doing was allowed under the terms of the Statute of Westminster. In December 1936 de Valera took advantage of the abdication crisis in Britain to pass the External Relations Act. This law removed the King's authority within the Free State, although in theory the Free State continued to recognise the monarch as Head of the Commonwealth. As a result, the office of Governor General also ceased to exist. (Image – Cartoon of de Valera destroying the Commonwealth bridge) (Page 68) Within four years of coming to power de Valera had successfully removed many of the limitations on Irish independence. Source A Let it be clear that we yield no willing assent to any form or symbol that is out of keeping with Ireland's right as a sovereign nation.",986,167,23.0,129,False,False,,2004.0,g privy council highest court britain appeal decision irish court british government challenged de_valera action privy council court decided everything de_valera allowed term statute westminster december de_valera took advantage abdication crisis britain pas external relation act law removed king authority within free state although theory free state continued recognise monarch head commonwealth result office governor general ceased exist image cartoon de_valera destroying commonwealth bridge page within coming power de_valera successfully removed limitation irish independence source let clear yield willing assent form symbol keeping right sovereign nation
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"ling assent to any form or symbol that is out of keeping with Ireland's right as a sovereign nation. Let us remove these forms one by one, so that this state we control may become a republic in fact. De Valera outlining his policy aims at a rally commemorating the 1916 Easter Rising, April 1933 Questions: Why was de Valera so opposed to the Oath of Allegiance? Fill in the following table to show the steps de Valera took to weaken the terms of the 1921 Treaty: How did de Valera ensure that it would be difficult for the British Government to oppose the actions that he took? Extension Activity Did the changes introduced by de Valera 1932-6 make any real difference to life in the Irish Free State? Revision Tip Some very important changes to the constitutional position of the Irish Free State took place between 1932 and 1936. You need to explain why de Valera wanted to make these changes and how the 1931 Statute of Westminster had made it possible for him to do so.",974,178,24.0,129,False,False,,2004.0,ling assent form symbol keeping right sovereign nation let u remove form state control may become republic fact de_valera outlining policy aim rally commemorating easter rising april de_valera opposed oath allegiance fill following table show step de_valera took weaken term treaty de_valera ensure difficult british government oppose action took extension activity change introduced de_valera make real difference life irish free state revision tip important change constitutional position irish free state took place need explain de_valera wanted make change statute westminster possible
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"to make these changes and how the 1931 Statute of Westminster had made it possible for him to do so. The Economic War, 1932-8 Introduction Initially Britain and the Free State were close trading partners. This changed, however, when a dispute broke out between the two states over the issue of land annuities. The resulting trade dispute, which lasted from 1932 to 1938, became known as the Economic War. It badly damaged relations between the Free State, Britain and Northern Ireland. Causes From 1870 the British Government had lent large sums of money to Irish tenants to enable them to buy their own land. Each year the farmers had paid back a part of the loan. The payments were known as land annuities. Between 1922 and 1932 (Page 69) the Irish Government collected the money due and passed it on to the British Government. This was increasingly resented by many Irish farmers. Fianna Fáil had promised to cancel these payments if they gained power.",955,164,25.0,129,False,False,,2004.0,make change statute westminster possible economic war introduction initially britain free state close trading partner changed however dispute broke state issue land annuity resulting trade dispute lasted became known economic war badly damaged relation free state britain cause british government lent large sum money irish tenant enable buy land farmer paid back part loan payment known land annuity page irish government collected money due passed british government increasingly resented irish farmer fianna fáil promised cancel payment gained power
Madden and McBride History for CCEA GCSE Chapter 2.docx,textbook,option1,"ented by many Irish farmers. Fianna Fáil had promised to cancel these payments if they gained power. De Valera was as good as his word: as soon as he won power he withheld the payments. De Valera justified his position by stating that Ireland was in an economic depression and that as Northern Ireland had been allowed to keep their land annuities as a 'free gift', then so too should the Free State. In response Britain imposed import duties of 20% on all goods imported from the Free State. The Irish Government retaliated by placing taxes on goods coming from Britain and Northern Ireland, including coal, which the Irish economy depended on. Response of the Irish Government De Valera called a general election in 1933 over the Economic War. Although this only gave Fianna Fáil an overall majority of one seat in the Dáil, it strengthened de Valera's position and his stance against Britain.",895,154,26.0,129,False,False,,2004.0,ented irish farmer fianna fáil promised cancel payment gained power de_valera good word soon power withheld payment de_valera justified position stating economic depression allowed keep land annuity gift free state response britain imposed import duty good imported free state irish government retaliated placing tax good coming britain including coal irish economy depended response irish government de_valera called general election economic war although gave fianna fáil overall majority seat dáil strengthened de_valera position stance britain
