document_index,similarity_score,term_count,filename,cleaned_preview,original_preview,full_cleaned_document,full_original_document
1444,0.27375051182269167,6,option2_combined all.docx,ings increased especially belfast ira achieved aim destroying stormont however saw direct rule evidence great british involvement ni support dup political party organised ian paisley increased afterma...,"ings increased, especially in Belfast. The IRA had achieved one of their aims – destroying Stormont. However, it saw Direct Rule as evidence of great British involvement in NI. Support for the DUP, a ...",ings increased especially belfast ira achieved aim destroying stormont however saw direct rule evidence great british involvement ni support dup political party organised ian paisley increased aftermath direct rule nicra stated campaign civil right continue ni structure executive structure executive support opposition support opposition big picture support opposition nationalist supported executive support came sdlp unionist within dup led ian paisley opposed due irish dimension unionist supported executive support came oup member led brian faulkner unionist opposed executive including harry west,"ings increased, especially in Belfast. The IRA had achieved one of their aims – destroying Stormont. However, it saw Direct Rule as evidence of great British involvement in NI. Support for the DUP, a political party organised by Ian Paisley, increased in the aftermath of Direct Rule. NICRA stated that the campaign for civil rights would continue in NI. Structure of Power-Sharing Executive Structure of Power-Sharing Executive Power-Sharing Support & Opposition Power-Sharing Support & Opposition BIG Picture: “ Power-Sharing, 1973-74” Support Opposition Nationalists supported the Power-Sharing Executive. This support came from the SDLP. Unionists within the DUP, led by Ian Paisley, opposed Power-Sharing due to the Irish Dimension. Some unionists supported the Power-Sharing Executive. This support came from some OUP members led by Brian Faulkner. Some unionists opposed the Power-Sharing Executive, including Harry West."
1477,0.2235939836159471,6,option2_combined all.docx,stick agreement absence mp noticed unionist politician ended boycott w minster unionist look support campaign agreement main group opposed agreement fianna fáil sinn féin group unionist first choice s...,to stick by the Anglo-Irish Agreement. The absence of 14 MPs out of 650 was not noticed and by Sept. 1987 Unionist politicians ended their boycott of W’Minster. Where could Unionists look for support ...,stick agreement absence mp noticed unionist politician ended boycott w minster unionist look support campaign agreement main group opposed agreement fianna fáil sinn féin group unionist first choice support unionist felt look community support unionist look support campaign agreement main group opposed agreement fianna fáil sinn féin group unionist first choice support unionist felt look community support intergovernmental conference agreement established intergovernmental conference deal issue security legal matter political improving,"to stick by the Anglo-Irish Agreement. The absence of 14 MPs out of 650 was not noticed and by Sept. 1987 Unionist politicians ended their boycott of W’Minster. Where could Unionists look for support in their campaign against the Agreement? The two main groups who also opposed the Agreement were Fianna Fáil & Sinn Féin. These were two groups would not have been Unionists first choice for support. Unionists felt that they had to look to their own community for support. Where could Unionists look for support in their campaign against the Agreement? The two main groups who also opposed the Agreement were Fianna Fáil & Sinn Féin. These were two groups would not have been Unionists first choice for support. Unionists felt that they had to look to their own community for support. Intergovernmental conference The Agreement established an intergovernmental conference which would deal with such issues such as security, legal matters, political questions and improving cross-border co-operation ."
2321,0.21923871817465052,4,option2_combined all.docx,eapons future policing early release paramilitary prisoner copy agreement posted every household irish republic put referendum following may gave substantial support respectively lower amount support ...,"eapons, the future of policing in Northern Ireland, and the early release of paramilitary prisoners. A copy of the Agreement was posted to every household in Northern Ireland and the Irish Republic an...",eapons future policing early release paramilitary prisoner copy agreement posted every household irish republic put referendum following may gave substantial support respectively lower amount support attributed significant number sceptical unionist voter brief outline agreement divided due size associated pdfs link actual text opening section including declaration support middle section including establishment assembly final section including decommissioning policing prisoner opening section read full table declaration support constitutional issue computer open pdf document automatically may need download adobe acrobat reader,"eapons, the future of policing in Northern Ireland, and the early release of paramilitary prisoners. A copy of the Agreement was posted to every household in Northern Ireland and the Irish Republic and put to referendums the following May, which gave them substantial support by 74% and 94% respectively. The lower amount of support in Northern Ireland was attributed to a significant number of sceptical unionist voters. Below is a brief outline of the Agreement (divided into three due to the size of the associated PDFs) with links to the actual text. Opening sections, including declaration of support Middle sections, including the establishment of the Northern Ireland Assembly Final sections, including decommissioning, policing and prisoners OPENING SECTIONS READ IT IN FULL Table of contents; Declaration of support; Constitutional issues (114KB) Most computers will open PDF documents automatically, but you may need to download Adobe Acrobat Reader."
268,0.17556987348863162,4,Madden and McBride History for CCEA GCSE Chapter 3.docx,weakening september revealed plot oup backbencher get rid leader growing rumour support neill within cabinet particular doubt loyalty colleague deputy prime minister brian faulkner agriculture ministe...,was weakening. In September 1966 he revealed a plot by OUP backbenchers to get rid of him as leader. There was also growing rumours about how much support O’Neill had within his own cabinet. In partic...,weakening september revealed plot oup backbencher get rid leader growing rumour support neill within cabinet particular doubt loyalty colleague deputy prime minister brian faulkner agriculture minister harry west page late therefore support within unionism general oup particular dwindling ruling party clearly divided policy opinion poll indicated increasing support within unionist population paisley policy nationalist reaction satisfaction disappointment policy received similarly mixed reaction nationalist community initial support policy soon gave way frustration better future seemed promised failed appear annoyance particularly felt among new generation catholic,"was weakening. In September 1966 he revealed a plot by OUP backbenchers to get rid of him as leader. There was also growing rumours about how much support O’Neill had within his own cabinet. In particular there were doubts about the loyalty of colleagues such as his Deputy Prime Minister, Brian Faulkner, and his Agriculture Minister, Harry West. (Page 110) By late 1967, therefore, the levels of O'Neill's support within unionism in general and the OUP in particular were dwindling. The ruling party was clearly divided over policy, while opinion polls indicated increasing support within the unionist population for Paisley's policies. Nationalist Reactions: Satisfaction and Disappointment O'Neill's policies received similarly mixed reactions from the nationalist community. Initial support for his policies soon gave way to frustration, as the better future that seemed to have been promised failed to appear. This annoyance was particularly felt among a new generation of Catholics."
2156,0.17172394008118774,4,option2_combined all.docx,ed neills intention introduce man vote time next council election loyalist violence escalated spring series bomb attack carried attempt force neill go explain neill resigned april short term long term...,ed over O’Neills’s intention to introduce ‘one man one vote’ in time for the next council elections. Loyalist violence escalated in the spring of 1969 with a series of bomb attacks carried out in an a...,ed neills intention introduce man vote time next council election loyalist violence escalated spring series bomb attack carried attempt force neill go explain neill resigned april short term long term reason short term neill receive support hoped called crossroad election took place th february little evidence hoped support catholic voter reduction unionist support party divided neill managed hold bannside seat vote reverend ian paisley stood considerable amount support put great pressure neill step struggled month resigned th april month prior election neill seemed losing control situation,"ed over O’Neills’s intention to introduce ‘one man one vote’ in time for the next council elections. Loyalist violence escalated in the spring of 1969 with a series of bomb attacks carried out in an attempt to force O’Neill to go. Explain why O’Neill resigned in April 1969? Short term and long term reasons Short term O’Neill did not receive the support that he had hoped for in the so called crossroads election that took place on 24 th February 1969. There was little or no evidence of the hoped for support from Catholic voters and there was a reduction in unionist support. His party was divided and O’Neill had only managed to hold on to his own Bannside seat by 1,400 votes as the Reverend Ian Paisley stood against him and won a considerable amount of support. This put great pressure on O’Neill to step down. He struggled on for two more months but resigned on 28 th April 1969. During the months prior to the election O’Neill seemed to be losing control of the situation."
