document_index,similarity_score,term_count,filename,cleaned_preview,original_preview,full_cleaned_document,full_original_document
853,0.7182123954230677,7,option2_combined all.docx,method hunger striking ha used throughout mean protest research past example hunger strike recent example last example following hunger strike take place hunger strike hunger strike put form table alt...,2: THE METHOD OF HUNGER STRIKING HAS BEEN USED THROUGHOUT HISTORY AS A MEANS OF NON-VIOLENT PROTEST. Research two past examples of hunger strikes and one recent example (in the last five years). For e...,method hunger striking ha used throughout mean protest research past example hunger strike recent example last example following hunger strike take place hunger strike hunger strike put form table alternate task e ach given statement cut tudents circulate class cluster group depending statement group demand hunger striker hunger strike hunger strike aftermath hunger strike fter clustered group read statement group ha everyone clustered correctly lternatively formed group organise statement title,"2: THE METHOD OF HUNGER STRIKING HAS BEEN USED THROUGHOUT HISTORY AS A MEANS OF NON-VIOLENT PROTEST. Research two past examples of hunger strikes and one recent example (in the last five years). For each example, answer the following: When did the hunger strike take place? Who was on the hunger strike? Why was this person/group on hunger strike? Put your answers in the form of a table. WHEN? WHO? WHY? ALTERNATE TASK E ach student will be given a statement that is cut out from M2L5Statements. S tudents will circulate the class and cluster into groups depending on their statement. The groups are: DEMANDS OF THE HUNGER STRIKERS, THE 1980 HUNGER STRIKE, THE 1981 HUNGER STRIKE and AFTERMATH OF THE HUNGER STRIKES. A fter students have clustered, each group will read out their statements to the other groups – has everyone clustered correctly? A lternatively, students could be formed into groups and organise the statements under these titles."
1459,0.7025640420615099,8,option2_combined all.docx,wearing clothes operating commander hunger strike bobby sand led brendan hughes march st march sc removed second hunger strike began hunger strike led bobby sand pira inmate commanding officer unlike ...,on the wearing of their own clothes. The Operating Commander of this hunger strike was Bobby Sands. It was led by Brendan Hughes. March – Oct. 1981 1 st March 1981 – five years after SCS had been remo...,wearing clothes operating commander hunger strike bobby sand led brendan hughes march st march sc removed second hunger strike began hunger strike led bobby sand pira inmate commanding officer unlike previous hunger strike time prisoner join hunger strike interval starting time make hunger strike last longer maximise impact however although hunger strike gained huge publicity sympathy nationalist community change british government policy let make point hunger strike maze prison political justification murder crime government never concede political status hunger striker word british pm margaret thatcher,"on the wearing of their own clothes. The Operating Commander of this hunger strike was Bobby Sands. It was led by Brendan Hughes. March – Oct. 1981 1 st March 1981 – five years after SCS had been removed, a second hunger strike began. This hunger strike was led by Bobby Sands – the PIRA inmates’ Commanding Officer. Unlike the previous hunger strike, this time prisoners would join the hunger strike at intervals – not all starting at the same time. This would make the hunger strike last longer and maximise its impact. However, although the hunger strike gained huge publicity and the sympathy of many in the Nationalist community, it did not change the British government’s policy. “ Let me make one point about the hunger strike in the Maze prison. There can be no political justification for murder or any other crime. The government will never concede political status to the hunger strikers .” The words of the then British PM Margaret Thatcher."
851,0.6408269173631942,6,option2_combined all.docx,te whereas unionist loyalist community nothing terrorist group discus difference terrorist freedom fighter note discussion point discussion use online research discover quote news article describes fe...,"te, whereas to many in the unionist and loyalist communities they were nothing more than terrorists. In groups, discuss the difference between a ‘terrorist’ and a ‘freedom fighter’. Note down all your...",te whereas unionist loyalist community nothing terrorist group discus difference terrorist freedom fighter note discussion point discussion use online research discover quote news article describes feeling unionist politician republican politician towards hunger strike alternatively may thought hunger strike memorial march task method hunger striking ha used throughout mean protest research past example hunger strike recent example last example following hunger strike take place hunger strike hunger strike put form table task consider perspective british state saw pira prisoner criminal,"te, whereas to many in the unionist and loyalist communities they were nothing more than terrorists. In groups, discuss the difference between a ‘terrorist’ and a ‘freedom fighter’. Note down all your discussion points. Further to your discussion, use online research to discover quotes or news articles which describes the feelings of a unionist politician and a republican politician towards the hunger strikes (alternatively this may be their thoughts on a hunger strike memorial march). TASK 2: THE METHOD OF HUNGER STRIKING HAS BEEN USED THROUGHOUT HISTORY AS A MEANS OF NON-VIOLENT PROTEST. Research two past examples of hunger strikes and one recent example (in the last five years). For each example, answer the following: When did the hunger strike take place? Who was on the hunger strike? Why was this person/group on hunger strike? Put your answers in the form of a table. WHEN? WHO? WHY? TASK 1 Consider Perspectives 2 and 4 . The British state saw PIRA prisoners as criminals."
67,0.6297690604491328,5,Madden (2011) CCEA revision guide Chp 3. Changing Relationships.docx,need hunger strike another turning point must able explain took place happened impacted ccea gcse revision examine hunger strike making note leader hunger constituency may took date hunger strike numb...,"tegy.4910963628193WHAT YOU NEED TO KNOW4910963847344The 1981 hunger strike is another turning point. You must be able to explain why it took place, what happened and how it impacted on Northern Irelan...",need hunger strike another turning point must able explain took place happened impacted ccea gcse revision examine hunger strike making note leader hunger constituency may took date hunger strike number prisoner number people died related number concession hunger create spider diagram illustrating concession hunger strike create spider diagram explaining different reaction impact hunger strike,"tegy.4910963628193WHAT YOU NEED TO KNOW4910963847344The 1981 hunger strike is another turning point. You must be able to explain why it took place, what happened and how it impacted on Northern Ireland politics.70079879972446a1225550741299173431History for CCEA GCSE Revision Guide838835681838ACTIVITIES83883510024871 Examine the 1981 hunger strike by making a note of the following:9729471343254• Leader of 1981 hunger strike9729471499616• Constituency in which May 1981 by-election took place9759951652016• Date hunger strike ended9851391804416• Number of prisoners who died9820911956816• Number of people who died in related violence9820912109216• Number of concessions made during hunger strike83883522978872 Create a spider diagram illustrating the concessions made after the hunger strike ended.85102726423113 Create a spider diagram explaining the different reactions to/ impact of the hunger strike."
962,0.5902425666806301,6,option2_combined all.docx,macswiney lord mayor cork died brixton prison london day hunger strike passage speech inauguration lord mayor recalled hunger strike inflict suffer conquer impact strike nationalist population became ...,"MacSwiney, then Lord Mayor of Cork, died in Brixton Prison, London, on day 74 of his hunger strike. A passage from a speech he had made at his inauguration as Lord Mayor was to be recalled during the ...",macswiney lord mayor cork died brixton prison london day hunger strike passage speech inauguration lord mayor recalled hunger strike inflict suffer conquer impact strike nationalist population became clear bobby sand elected member parliament mp pm cain event hunger strike summary election fermanagh south tyrone seat hunger striker elected teachta dáil tds general election republic hunger strike ended october republican prisoner still refusing food decided end hunger strike stage protest prisoner hunger strike,"MacSwiney, then Lord Mayor of Cork, died in Brixton Prison, London, on day 74 of his hunger strike. A passage from a speech he had made at his inauguration as Lord Mayor was to be recalled during the 1981 hunger strike: ""It is not those who can inflict the most, but those who can suffer the most who will conquer"". Just how much impact the 1981 strike was having on the Nationalist population of Ireland became clear when Bobby Sands was elected a Member of Parliament (MP) during a by- 1/2 3/10/25, 7:12 PM CAIN: Events: Hunger Strike 1981 - Summary election for the Fermanagh / South Tyrone seat and two other hunger strikers were elected as Teachta Dáil (TDs) in a general election in the Republic of Ireland. The hunger strike ended on 3 October 1981 when those Republican prisoners who had still been refusing food decided to end their hunger strike. At this stage in the protest six prisoners were on hunger strike."
