document_index,similarity_score,term_count,filename,cleaned_preview,original_preview,full_cleaned_document,full_original_document
2397,0.7368477444130692,10,option2_combined all.docx,sage ira paisley pope beast ridden harlot catholic church european union visit vatican spiritual fornication adultery antichrist queen mother explore topic ian paisley irish politics news share reuse ...,"sages to the IRA"" Paisley on the Pope ""A beast ridden by the harlot Catholic church"" On the European Union ""Her visit to the Vatican was spiritual fornication and adultery with the Antichrist"" On the ...",sage ira paisley pope beast ridden harlot catholic church european union visit vatican spiritual fornication adultery antichrist queen mother explore topic ian paisley irish politics news share reuse story story firebrand turned peacemaker ian paisley step mp mar ian paisley buried private funeral absence closest dup ally sept politics ian mar ian paisley funeral take place belfast sept rev ian paisley obituary sept comment ian paisley life dr ian paisley big man whose stature rhetoric hid softer side sept ian paisley dup firebrand turned peacemaker dy aged sept comment ian paisley dr ulster politics dy aged sept comment ian paisley turbulent priest,"sages to the IRA"" Paisley on the Pope ""A beast ridden by the harlot Catholic church"" On the European Union ""Her visit to the Vatican was spiritual fornication and adultery with the Antichrist"" On the Queen Mother Explore more on these topics Ian Paisley Northern Irish politics Northern Ireland news Share Reuse this content More on this story More on this story Firebrand turned peacemaker Ian Paisley steps down as MP 2 Mar 2010 Ian Paisley buried at private funeral in absence of closest DUP allies 15 Sept 2014 40 years of politics, Ian Paisley-style 2 Mar 2010 Ian Paisley's funeral to take place in Belfast 15 Sept 2014 The Rev Ian Paisley obituary 12 Sept 2014 … … comments Ian Paisley: the life of Dr No Ian Paisley: the Big Man whose stature and rhetoric hid a softer side 12 Sept 2014 Ian Paisley, DUP firebrand turned peacemaker, dies aged 88 12 Sept 2014 … … comments Ian Paisley, the Dr No of Ulster politics, dies aged 88 12 Sept 2014 … … comments Ian Paisley: from turbulent priest to"
2394,0.4557113177050152,3,option2_combined all.docx,ian paisley negotiation st andrew scotland restore devolution photograph jeff j image ian paisley article old conor age beauty ian paisley word article old choice quote former leader democratic unioni...,"Ian Paisley during negotiations in St Andrews, Scotland, to restore devolution to Northern Ireland. Photograph: Jeff J Mitchell/Getty Images Ian Paisley This article is more than 10 years old 'After y...",ian paisley negotiation st andrew scotland restore devolution photograph jeff j image ian paisley article old conor age beauty ian paisley word article old choice quote former leader democratic unionist party ha died aged fri sep edt share juda iscariot paisley rival ulster unionist leader lord molyneaux come parlour said spider fly nicest wee parlour ever spy well let tell charles j haughey ulster people fly come parlour paisley dismissing irish prime minister charlie haughey invitation unionist come united never let paisley praising former irish prime minister bertie ahern role st andrew agreement sort whirlwind,"Ian Paisley during negotiations in St Andrews, Scotland, to restore devolution to Northern Ireland. Photograph: Jeff J Mitchell/Getty Images Ian Paisley This article is more than 10 years old 'After you Conor, age before beauty' – Ian Paisley in his own words This article is more than 10 years old Choice quotes from the former leader of the Democratic Unionist party, who has died aged 88 Fri 12 Sep 2014 06.32 EDT Share ""You are a Judas Iscariot"" Paisley to his rival Ulster Unionist leader of the 1980s, Lord Molyneaux ""Come into my parlour, said the spider to the fly, it's the nicest wee parlour you ever did spy ... well, let me tell you Charles J Haughey, the Ulster people are too fly to come into your parlour"" Paisley dismissing the then Irish prime minister Charlie Haughey's invitation for unionists to come into a united Ireland in 1980 ""He never let me down"" Paisley praising the former Irish prime minister Bertie Ahern for his role in the St Andrews agreement ""A sort of whirlwind"
266,0.446937420176022,3,Madden and McBride History for CCEA GCSE Chapter 3.docx,greed cabinet implying visit become acceptable cabinet emergence rev ian paisley widespread hostile public reaction visit strong objection moderator free presbyterian church rev ian paisley apart imag...,"greed in cabinet, implying that by then such a visit had become much more acceptable to the cabinet. The Emergence of Rev Ian Paisley While there was no widespread hostile public reaction to the visit...",greed cabinet implying visit become acceptable cabinet emergence rev ian paisley widespread hostile public reaction visit strong objection moderator free presbyterian church rev ian paisley apart image ian paisley leading protest march ecumenism longstanding protestant concern influence catholic church republic paisley objected link south especially constitution laid claim article ii iii whole island throughout rest decade paisley support grew unionist came fear implication new policy resent failure policy improve life,"greed in cabinet, implying that by then such a visit had become much more acceptable to the cabinet. The Emergence of Rev Ian Paisley While there was no widespread hostile public reaction to the visit, there was strong objection from the Moderator of the Free Presbyterian Church, Rev Ian Paisley. Apart from (Image – Ian Paisley leading a protest march against ecumenism) longstanding Protestant concerns about the influence of the Catholic Church in the Republic, Paisley objected to any links with the South, especially as its constitution laid claim, in Articles II and III, to the whole island of Ireland. Throughout the rest of the decade Paisley's support grew as many unionists came to fear the implications of O'Neill's new policies and to resent the failure of such policies to improve their own lives."
2255,0.37703244702759314,3,option2_combined all.docx,ure neill relation south border concession toward catholic north wave extremism emerged among unionist typified reverend ian paisley paisley summoned deep rooted protestant fear rome rule special posi...,"ure about O’Neill’s relations South of the border and his concessions toward Catholics in the North. A wave of extremism emerged among Unionists, typified by the Reverend Ian Paisley. Paisley summoned...",ure neill relation south border concession toward catholic north wave extremism emerged among unionist typified reverend ian paisley paisley summoned deep rooted protestant fear rome rule special position granted catholic church south criticised neill policy north branded traitor protestant ulster despite neill met success general election winning seat progressive reform finding support moderate unionist ian paisley denial protestantism opposes currie devlin reverend ian paisley channel news pope unionist criticism job created lost decline traditional protestant shipbuilding textile industry,"ure about O’Neill’s relations South of the border and his concessions toward Catholics in the North. A wave of extremism emerged among Unionists, typified by the Reverend Ian Paisley. Paisley summoned deep rooted Protestant fears of ‘Rome Rule’ and the special position granted to the Catholic Church in the South. He also criticised O’Neill’s policies in the North and branded him a traitor to Protestant Ulster. Despite this, O’Neill was met with success in the 1965 general election winning 38/52 seats. His more progressive reforms were finding support from moderate unionists. Ian Paisley ..\Video\Paisley denials and Protestantism 13-2-69.rm ..\Video\Paisley opposes Currie Devlin Lynch.mp4 Reverend Ian Paisley: 1926-2014 | Channel 4 News: E45v08fQ0 Pope: bKZa4 Unionist Criticisms While 35 000 jobs were created, 20 000 were lost in the decline of traditional Protestant shipbuilding and textiles industries."
95,0.32167593215510637,2,Madden (2009) History for CCEA GCSE Second Edition - Chapter 3 (Changing Relationships).docx,agreed cabinet implying visit become acceptable emergence reverend ian paisley widespread hostile public reaction lemass visit strong objection moderator free presbyterian church reverend ian paisley ...,"was agreed in cabinet, implying that by then such a visit had become more acceptable to its members.37124644198925The Emergence of Reverend Ian Paisley While there was no widespread hostile public rea...",agreed cabinet implying visit become acceptable emergence reverend ian paisley widespread hostile public reaction lemass visit strong objection moderator free presbyterian church reverend ian paisley apart longstanding protestant concern influence catholic church republic paisley objected link south especially article ii iii constitution laid claim whole island rest decade paisley support grew unionist came fear implication new policy failure policy improve life short term however delighted success oup enjoyed november general election seat,"was agreed in cabinet, implying that by then such a visit had become more acceptable to its members.37124644198925The Emergence of Reverend Ian Paisley While there was no widespread hostile public reaction to the Lemass visit, there was strong objection from the Moderator of the Free Presbyterian Church, Reverend Ian Paisley. Apart from longstanding Protestant concerns about the influence of the Catholic Church in the Republic, Paisley objected to any links with the South, especially as Articles II and III of its constitution laid claim to the whole island of Ireland.37063685869838Throughout the rest of the decade Paisley's support grew as many Unionists came to fear the implications of O'Neill's new policies and to37002726351422resent the failure of such policies to improve their own lives. In the short term, however, O'Neill was delighted with the success the OUP enjoyed in36941766833006the November 1965 general election when it won 38 out of 52 seats."
