document_index,similarity_score,term_count,filename,cleaned_preview,original_preview,full_cleaned_document,full_original_document
998,0.39181791896355556,3,option1_combined all.docx,might bring pressure bear upon administration president woodrow wilson paper éamon de valera éamon de valera greeted disembarking ferry newport rhode island september subsequently granted freedom city...,"at this might bring pressure to bear upon the administration of President Woodrow Wilson. (P150/753. 
Papers of Éamon de Valera.) 
Éamon de Valera is greeted disembarking off a ferry at Newport, Rhode...",might bring pressure bear upon administration president woodrow wilson paper éamon de valera éamon de valera greeted disembarking ferry newport rhode island september subsequently granted freedom city addressing rally newport freebody park major urban centre u natural focus de valera colleague visited remarkably wide range location across continent tour paper éamon de valera michael macwhite uniform french foreign legion born cork macwhite journalist enlisting foreign legion first world war decorated gallantry occasion subsequently joined sinn féin delegation paris responsible distributing propaganda retained dress uniform apparently came useful seeking create good impression paris,"at this might bring pressure to bear upon the administration of President Woodrow Wilson. (P150/753. 
Papers of Éamon de Valera.) 
Éamon de Valera is greeted disembarking off a ferry at Newport, Rhode Island, 13 September 1919. He was subsequently granted the freedom of the city before addressing a rally at Newport’s Freebody Park. While the major urban centres of the US were a natural focus, de Valera and his colleagues visited a remarkably wide range of locations across the continent during his tour. (P150/834. Papers of Éamon de Valera.) 
Michael MacWhite in the uniform of the French Foreign Legion, c.1918. Born in Cork, MacWhite was a journalist before enlisting in the Foreign Legion during the First World War. He was decorated for gallantry on three occasions. He subsequently joined the Sinn Féin delegation in Paris, and was responsible for distributing its propaganda. He retained his dress uniform, which apparently came in useful when seeking to create a good impression in Paris."
1022,0.3704898724977526,3,option1_combined all.docx,sit geneva shortly afterwards germany left league paper éamon de valera éamon de valera attendance league nation assembly geneva elected term council league indication active role state diplomat playe...,"sit to Geneva. 
Shortly afterwards Germany left the League’. (P150/3803. 
Papers of Éamon de Valera.) 
Éamon de Valera in attendance at the League of Nations Assembly in Geneva in the mid-1930s. In 19...",sit geneva shortly afterwards germany left league paper éamon de valera éamon de valera attendance league nation assembly geneva elected term council league indication active role state diplomat played geneva since cumann na ngaedheal predecessor de valera regarded engagement league nation central pillar independent irish foreign policy de valera respected figure assembly remained supporter league throughout turmoil paper éamon de valera postcard danzig gdansk collected seán lester born antrim lester successful career journalist becoming diplomat,"sit to Geneva. 
Shortly afterwards Germany left the League’. (P150/3803. 
Papers of Éamon de Valera.) 
Éamon de Valera in attendance at the League of Nations Assembly in Geneva in the mid-1930s. In 1930 Ireland had been elected to a three year term on the Council of the League; an indication of the active role the state and its diplomats had played at Geneva since the mid-1920s. 
Like his Cumann na nGaedheal predecessors, de Valera regarded engagement with the League of Nations as a central pillar of an independent Irish foreign policy. De Valera was a respected figure at the Assembly and remained a supporter of the League throughout the turmoil of the 1930s. (P150/2816. Papers of Éamon de 
Valera.) 
A postcard of Danzig (Gdansk) collected by Seán Lester. Born in Antrim, Lester had a successful career as a journalist before becoming a diplomat."
1052,0.3206218518307122,2,option1_combined all.docx,sed entire island united éamon de valera rté radio show myles dungan guest discus long remarkable career éamon de valera dominant political figure century uk government expressed bemusement first gove...,"sed when the entire island of Ireland was united.
 Éamon de Valera 
From RTÉ Radio 1's History Show. Myles Dungan and guests discuss the the long and remarkable career of Éamon De Valera, the most dom...",sed entire island united éamon de valera rté radio show myles dungan guest discus long remarkable career éamon de valera dominant political figure century uk government expressed bemusement first government handling entire affair prime minister clement attlee privately wrote republic act increase difficulty arriving agreement partition indeed writing earl longford formerly lord pakenham former leading british labour mp de valera biography described affair merely unhappy accident significantly first government decision compelled reluctant labour government britain introduce act may counter legislation came bitter blow de valera,"sed when the entire island of Ireland was united.
 Éamon de Valera 
From RTÉ Radio 1's History Show. Myles Dungan and guests discuss the the long and remarkable career of Éamon De Valera, the most dominant political figure of 20th century Ireland
The UK government expressed their bemusement of the First Inter-Party Government's handling of the entire affair. Prime minister Clement Attlee privately wrote that the Republic of Ireland Act would only increase the ""difficulty in arriving at any agreement on the partition question"". Indeed, writing in the 1960s the Earl of Longford (formerly Lord Pakenham), a former leading British Labour MP and co-author of De Valera's semi-official biography in 1970, described the affair as merely ""an unhappy accident of history"".
Significantly, the First Inter-Party Government's decision compelled a reluctant Labour government in Britain to introduce the Ireland Act in May 1949. This counter legislation came as a bitter blow to De Valera."
1019,0.3181944836356684,2,option1_combined all.docx,removal oath bill introduced de valera april passed may oath allegiance fidelity british crown taken member free state dáil specified treaty long opposed republican removal imperative de valera govern...,"on (Removal of Oath) Bill, 1932, introduced by de Valera on 20 April 1932 and passed on 19 May 1932. The oath of allegiance or fidelity to the 
British crown that was to be taken by all members of the...",removal oath bill introduced de valera april passed may oath allegiance fidelity british crown taken member free state dáil specified treaty long opposed republican removal imperative de valera government paper éamon de valera officially represented british monarch irish free state de valera government point snubbing sought expand boundary irish sovereignty beyond limit specified treaty letter governorgeneral james mcneill dated april joseph walshe request visit lodge arás uachtaráin rather bothered official personal person explain view paper éamon de valera,"on (Removal of Oath) Bill, 1932, introduced by de Valera on 20 April 1932 and passed on 19 May 1932. The oath of allegiance or fidelity to the 
British crown that was to be taken by all members of the 
Free State’s Dáil, as specified in the 1921 Treaty, had long been opposed by republicans; its removal was an imperative for de Valera’s government. (P150/2219. 
Papers of Éamon de Valera.) 
The Governor-General officially represented the British monarch in the Irish Free State; de Valera’s government made a point of snubbing him as they sought to expand the boundaries of Irish sovereignty beyond the limits specified in the 1921 Treaty. This letter from GovernorGeneral James McNeill, dated 23 April 1932, to Joseph 
Walshe, requests that he visit him at the Vice-Regal 
Lodge (now Arás an Uachtaráin): ‘I am rather bothered about my official and personal self-respect, and you are the only person to whom I can explain my views’. (P150/2220. Papers of Éamon de Valera."
20,0.31799573239823403,2,Madden and McBride History for CCEA GCSE Chapter 2.docx,however still need understand reason divided state free state de valera de valera becomes president march fianna fáil labour party support succeeded cumann na ngaedheal free state government result éa...,"on. However, you still need to understand the reasons why Northern Ireland was such a divided state. The Free State under de Valera, 1932-6 De Valera Becomes President In March 1932 Fianna Fáil, with ...",however still need understand reason divided state free state de valera de valera becomes president march fianna fáil labour party support succeeded cumann na ngaedheal free state government result éamon de valera senior surviving commandant rising leading opponent treaty became president executive council cabinet finally given opportunity dismantle treaty term source page image éamon de valera de valera political view soon coming power de valera wrote british government condemning oath allegiance burden conscience people started process remove remaining symbol british power free state de valera careful take step carefully within law,"on. However, you still need to understand the reasons why Northern Ireland was such a divided state. The Free State under de Valera, 1932-6 De Valera Becomes President In March 1932 Fianna Fáil, with Labour Party support, succeeded Cumann na nGaedheal as the Free State's government. As a result Éamon de Valera, the senior surviving commandant from the 1916 Rising and the leading opponent of the Treaty, became President of the Executive Council (Cabinet). He had finally been given the opportunity to dismantle the Treaty's terms (Source A). (Page 67) (Image - Éamon de Valera) De Valera’s Political Views Soon after coming to power de Valera wrote to the British Government condemning the Oath of Allegiance as an 'intolerable burden on the conscience of a people'. He then started a process to remove the remaining symbols of British power in the Free State. De Valera was careful to take each step carefully and within the law."
