document_index,similarity_score,term_count,filename,cleaned_preview,original_preview,full_cleaned_document,full_original_document
404,0.47652848205167214,7,Updated Doherty (2001) no textboxes.docx,idered catholic faith satanic consistently described successive pope roman catholic generally looked upon loyal primarily pope rome rather united kingdom meant depicted potentially untrustworthy trait...,"idered the Catholic faith satanic, and consistently described successive popes as the 'anti-Christ'. Roman Catholics were generally looked upon as being loyal primarily to the pope in Rome rather than...",idered catholic faith satanic consistently described successive pope roman catholic generally looked upon loyal primarily pope rome rather united kingdom meant depicted potentially untrustworthy traitor intent uniting republic catholic state unionist leader claimed catholic wanted rule played upon general fear distrust catholic people amongst protestant special position roman catholic church irish republic little disperse fear mistrust catholic protestant fuelled way used justify attitude tradition,"idered the Catholic faith satanic, and consistently described successive popes as the 'anti-Christ'. Roman Catholics were generally looked upon as being loyal primarily to the pope in Rome rather than to the United Kingdom. This meant that they were depicted as potentially untrustworthy traitors intent on uniting the Republic and Northern Ireland into one Catholic state. Unionist leaders claimed Catholics wanted 'Rome Rule' and played upon the general fear and distrust of Catholic people amongst Protestants. The special position of the Roman Catholic Church in the Irish Republic did little to disperse those fears. The mistrust between the Catholics and the Protestants was fuelled by the way they both used history to justify their attitudes and traditions."
1110,0.3788753239198196,7,option1_combined all.docx,substance fear put rule unionist majority separate state explain catholic fearful future event summer august violence continued spiral august serious consequence catholic people lisburn chapel hill li...,substance to their fears of being put under the rule of the unionist majority in a separate state’. Can you explain why Catholics were more fearful for the future after these events in the summer of 1...,substance fear put rule unionist majority separate state explain catholic fearful future event summer august violence continued spiral august serious consequence catholic people lisburn chapel hill lisburn robert lynch describes consequence catholic population lisburn sunday swanzy shooting uvf organised serious violence focused catholic community town satisfied previously smashing window catholic business premise home looted burned ric called military support charge local military william hacket pain senior uvf member apart guarding catholic church convent little done military protect catholic people lisburn fled town fear life,"substance to their fears of being put under the rule of the unionist majority in a separate state’. Can you explain why Catholics were more fearful for the future after these events in the summer of 1920?
August 1920
Violence continued to spiral in August, with serious consequences for the Catholic people of Lisburn.
Chapel Hill, Lisburn
Robert Lynch describes the consequences for the Catholic population of Lisburn: 
‘On the Sunday of Swanzy’s shooting, the UVF organised serious violence focused on the Catholic community in the town. Not satisfied, as previously, with smashing windows, Catholic business premises and homes were looted and burned. The RIC called for military support. 
In charge of the local military was William Hacket Pain, a senior UVF member. Apart from guarding the Catholic church and the convent, little was done by the military to protect the Catholic people of Lisburn. Most of them fled from the town in fear of their lives’."
711,0.3650031895419735,6,option1_combined all.docx,irish inhabitant whilst oliver cromwell power violence conflict rife cromwell instigated number gruesome battle country resulted death side end seventeenth century catholic population extremely margin...,"Irish inhabitants.
Whilst Oliver Cromwell was in power, violence, and conflict in Ireland were rife. Cromwell instigated a number of gruesome battles in the country, which resulted in many deaths on b...",irish inhabitant whilst oliver cromwell power violence conflict rife cromwell instigated number gruesome battle country resulted death side end seventeenth century catholic population extremely marginalised conflict protestant catholic worse ever culminated battle boyne catholic king james ii defeated protestant king william iii battle solidified protestant dominant side led oppression irish catholic oppression involved land taken away restricted rule term right bear arm removal catholic clergy member outraged irish catholic community began reform movement mark first real sight irish nationalism,"Irish inhabitants.
Whilst Oliver Cromwell was in power, violence, and conflict in Ireland were rife. Cromwell instigated a number of gruesome battles in the country, which resulted in many deaths on both sides.
By the end of the seventeenth century, the Catholic population of Ireland was extremely marginalised, and the conflict between the Protestants and Catholics was worse than ever. This culminated in the Battle of the Boyne, in 1690, in which the Catholic King, James II, was defeated by the Protestant King, William III. This battle solidified the
Protestants as the dominant side in Ireland and led to further oppression of Irish Catholics. This oppression involved lands being taken away, restricted rules in terms of education and the right to bear arms, the removal of Catholic clergy members, and more. The outraged Irish Catholic community began a reform movement, which marks the first real sight of Irish nationalism."
574,0.33941698498405,4,option1_combined all.docx,er taken unit protestant catholic enabled catholic form strong minority parliament strong protected fairly well perhaps near future aid liberal minded protestant get office happens england civilised c...,"er had been taken as a unit, there would have been 890,000 Protestants as against 690,000 Catholics. This would have enabled Catholics to form a strong minority in the Northern Parliament so strong th...",er taken unit protestant catholic enabled catholic form strong minority parliament strong protected fairly well perhaps near future aid liberal minded protestant get office happens england civilised country catholic see hope anything save ruled time hereditary enemy intolerable state affair sir james craig told friend mine lately induce catholic enter parliament willing give representation proportion number county move right direction,"er had been taken as a unit, there would have been 890,000 Protestants as against 690,000 Catholics. This would have enabled Catholics to form a strong minority in the Northern Parliament so strong that they could have protected themselves fairly well and perhaps in the near future, with the aid of liberal minded Protestants, to get into office as happens in England and other civilised countries. As it is 
Catholics see no hope of anything save being ruled for all time by their hereditary enemies. This to them is an intolerable state of affairs. Sir James Craig told a friend of mine lately that to induce Catholics to enter his Parliament he would be willing to give them representation in proportion to their numbers in the six counties. This is a move in the right direction."
403,0.30715697580618845,5,Updated Doherty (2001) no textboxes.docx,uilt catholic area addition job shipbuilding perceived career growing protestant fear anger protestant believed nicra ignored poverty hardship ordinary workingclass protestant whose life difficult cat...,"uilt in Catholic areas. In addition, jobs in shipbuilding were perceived as Protestant-only careers. [[Growing Protestant fears and anger]] Many Protestants believed that NICRA ignored the poverty and...",uilt catholic area addition job shipbuilding perceived career growing protestant fear anger protestant believed nicra ignored poverty hardship ordinary workingclass protestant whose life difficult catholic neighbour see source suspicion grew amongst unionist leader ordinary protestant movement simply front nationalist catholic ira see source e outspoken unionist reverend ian paisley able exploit traditional fear suspicion catholic amongst protestant formed free presbyterian church lead democratic unionist party remains dedicated maintaining integral part united kingdom extremist considered catholic faith satanic consistently described successive pope,"uilt in Catholic areas. In addition, jobs in shipbuilding were perceived as Protestant-only careers. [[Growing Protestant fears and anger]] Many Protestants believed that NICRA ignored the poverty and hardship of ordinary workingclass Protestants whose lives were as difficult as those of their Catholic neighbours (see Source D). Suspicions grew amongst Unionist leaders and ordinary Protestants that the movement was simply a front for Nationalists, Catholics and the IRA ( see Source E). One of the most outspoken Unionists, the Reverend Ian Paisley, was able to exploit a traditional fear and suspicion of Catholics amongst Protestants. He formed the Free Presbyterian Church in 1951 and leads the Democratic Unionist Party which remains dedicated to maintaining Northern Ireland as an integral part of the United Kingdom. He and other extremists considered the Catholic faith satanic, and consistently described successive popes as the 'anti-Christ'."
