document_index,similarity_score,term_count,filename,cleaned_preview,original_preview,full_cleaned_document,full_original_document
20,0.3204893829755158,7,Madden and McBride History for CCEA GCSE Chapter 2.docx,however still need understand reason divided state free state de valera de valera becomes president march fianna fáil labour party support succeeded cumann na ngaedheal free state government result éa...,"on. However, you still need to understand the reasons why Northern Ireland was such a divided state. The Free State under de Valera, 1932-6 De Valera Becomes President In March 1932 Fianna Fáil, with ...",however still need understand reason divided state free state de valera de valera becomes president march fianna fáil labour party support succeeded cumann na ngaedheal free state government result éamon de valera senior surviving commandant rising leading opponent treaty became president executive council cabinet finally given opportunity dismantle treaty term source page image éamon de valera de valera political view soon coming power de valera wrote british government condemning oath allegiance burden conscience people started process remove remaining symbol british power free state de valera careful take step carefully within law,"on. However, you still need to understand the reasons why Northern Ireland was such a divided state. The Free State under de Valera, 1932-6 De Valera Becomes President In March 1932 Fianna Fáil, with Labour Party support, succeeded Cumann na nGaedheal as the Free State's government. As a result Éamon de Valera, the senior surviving commandant from the 1916 Rising and the leading opponent of the Treaty, became President of the Executive Council (Cabinet). He had finally been given the opportunity to dismantle the Treaty's terms (Source A). (Page 67) (Image - Éamon de Valera) De Valera’s Political Views Soon after coming to power de Valera wrote to the British Government condemning the Oath of Allegiance as an 'intolerable burden on the conscience of a people'. He then started a process to remove the remaining symbols of British power in the Free State. De Valera was careful to take each step carefully and within the law."
169,0.3057536352931987,6,Updated Johnston&Johnston no textboxes.docx,british german joke source b funny britain right declare war de valera irish neutrality image cartoon brother turn back heading wrong entrance source b small state statesman greater state fail duty re...,"British have found the German joke in Source B funny? Was Britain right to declare war in 1939? [1.10 DE VALERA AND IRISH NEUTRALITY] [[[[(Image A cartoon – ‘Brother turn back, you’re heading for the ...",british german joke source b funny britain right declare war de valera irish neutrality image cartoon brother turn back heading wrong entrance source b small state statesman greater state fail duty resolutely determine become tool great power resist whatever strength may possess every attempt drive war eamon de valera speaking geneva irish neutrality de valera chamberlain eamonn de valera chamberlain actually got quite well together chamberlain kept hoping de valera agree side britain war broke de valera hoped chamberlain clever dealing country war make decision taking side,"British have found the German joke in Source B funny? Was Britain right to declare war in 1939? [1.10 DE VALERA AND IRISH NEUTRALITY] [[[[(Image A cartoon – ‘Brother turn back, you’re heading for the wrong entrance’)]]]] [[[[Source B]]]] ALL THE SMALL STATES CAN DO, IF THE STATESMEN OF THE GREATER STATES FAIL IN THEIR DUTY, IS RESOLUTELY TO DETERMINE THAT THEY WILL NOT BECOME THE TOOLS OF ANY GREAT POWER, AND THAT THEY WILL RESIST WITH WHATEVER STRENGTH THEY MAY POSSESS EVERY ATTEMPT TO DRIVE THEM INTO WAR AGAINST THEIR WILL. (Eamon de Valera, 1936, speaking at Geneva on Irish neutrality.) [[De Valera and Chamberlain]] Eamonn de Valera and Chamberlain actually got on quite well together. Chamberlain kept hoping that de Valera would agree to side with Britain if war broke out. De Valera hoped that Chamberlain would be so clever in dealing with other countries that there would be no war and he would not have to make any decisions about taking sides."
1886,0.28520536628926624,4,"Madden (2009) History for CCEA GCSE Second Edition - Chapter 2 (Peace, War and Neutrality) (1).docx",de valera responded continuing illegal activity ira member declaring group power de valera serving free state minister external affair begin change de valera war neutrality britain treaty unhappy sour...,de Valera responded to continuing illegal activities by IRA members by declaring the group illegal.38557203929482Cementing Independence38496244150766Now that he was in power de Valera ( who was also s...,de valera responded continuing illegal activity ira member declaring group power de valera serving free state minister external affair begin change de valera war neutrality britain treaty unhappy source bit bit therefore making use legal mean available de valera began remove free state remaining link britain source b valera outlining policy aim rally commemorating easter rising april clear yield willing assent form symbol keeping right sovereign nation,"de Valera responded to continuing illegal activities by IRA members by declaring the group illegal.38557203929482Cementing Independence38496244150766Now that he was in power de Valera ( who was also serving as the Free State's Minister for External Affairs) could begin to change the parts38587688708136Eamon de Valera (1882-1975).001935480290474Peace, War and Neutrality: Britain, Northern Ireland and Ireland 1932-49573024746150of the Anglo-Irish Treaty that he was most unhappy about (Source A). Bit by bit, therefore, and making use of the legal means available to him, de Valera began to remove the Free State's remaining links with Britain (Source B).6888482078431De Valera outlining his policy aims at a rally commemorating the 1916 Easter Rising, April 1933.6888482596896Let it be clear that we yield no willing assent to6797042757830any form or symbol that is out of keeping with Ireland's right as a sovereign nation."
24,0.2814776376799428,6,Madden and McBride History for CCEA GCSE Chapter 2.docx,ling assent form symbol keeping right sovereign nation let u remove form state control may become republic fact de valera outlining policy aim rally commemorating easter rising april de valera opposed...,"ling assent to any form or symbol that is out of keeping with Ireland's right as a sovereign nation. Let us remove these forms one by one, so that this state we control may become a republic in fact. ...",ling assent form symbol keeping right sovereign nation let u remove form state control may become republic fact de valera outlining policy aim rally commemorating easter rising april de valera opposed oath allegiance fill following table show step de valera took weaken term treaty de valera ensure difficult british government oppose action took extension activity change introduced de valera make real difference life irish free state revision tip important change constitutional position irish free state took place need explain de valera wanted make change statute westminster possible,"ling assent to any form or symbol that is out of keeping with Ireland's right as a sovereign nation. Let us remove these forms one by one, so that this state we control may become a republic in fact. De Valera outlining his policy aims at a rally commemorating the 1916 Easter Rising, April 1933 Questions: Why was de Valera so opposed to the Oath of Allegiance? Fill in the following table to show the steps de Valera took to weaken the terms of the 1921 Treaty: How did de Valera ensure that it would be difficult for the British Government to oppose the actions that he took? Extension Activity Did the changes introduced by de Valera 1932-6 make any real difference to life in the Irish Free State? Revision Tip Some very important changes to the constitutional position of the Irish Free State took place between 1932 and 1936. You need to explain why de Valera wanted to make these changes and how the 1931 Statute of Westminster had made it possible for him to do so."
1892,0.27928914527252435,5,"Madden (2009) History for CCEA GCSE Second Edition - Chapter 2 (Peace, War and Neutrality) (1).docx",responded de valera action imposing duty per cent free state import irish government reacted january de valera called snap general election mentioned page gave enough seat rule without labour party me...,310Britain responded to de Valera's actions by imposing duties of 20 per cent on Free State imports. The Irish government reacted in two ways:381914461804301 In January 1933 de Valera called the snap ...,responded de valera action imposing duty per cent free state import irish government reacted january de valera called snap general election mentioned page gave enough seat rule without labour party meant party threatening leave government crisis thus strengthening de valera dublin government imposed similar duty import part uk including probable de valera hoped making british good encourage irish people business produce similar good cheaply complaint harshness economic situation de valera simply blame british starting source,"310Britain responded to de Valera's actions by imposing duties of 20 per cent on Free State imports. The Irish government reacted in two ways:381914461804301 In January 1933 de Valera called the snap general election, as mentioned above (page 65). This gave him enough seats to rule without the Labour Party. This meant that there would be39288726826606no other party threatening to leave the government during the crisis, thus strengthening de Valera's position.381304873112382 The Dublin government imposed similar duties on imports from all parts of the UK, including Northern Ireland. It is probable that de Valera hoped that making British goods more39349687960462expensive would encourage Irish people to set39319208122006up their own business and produce similar goods much more cheaply. If there were any complaints about the harshness of the economic situation, de Valera could simply blame the British for starting it (Source A)."
